Customer_Key,Recency,Frequency,Monetary,RFM_Score,Churn_Risk,Predicted_Risk_Label,Recommended_Intervention
BENAULIM_GOA,11,6,2616.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALOORU_KARNATAKA,86,1,379.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALORE_KARNATAKA,56,1,743.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURE_KARNATAKA,69,2,1585.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU - 560008_KARNATAKA,87,1,698.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU 560016_KARNATAKA,82,2,1145.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU 560032_KARNATAKA,21,1,455.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU 560037_KARNATAKA,75,6,5336.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU 560043_KARNATAKA,9,2,798.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU 560062_KARNATAKA,88,1,729.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU 560064_KARNATAKA,71,1,807.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU 560066_KARNATAKA,66,1,342.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU 562125_KARNATAKA,9,2,725.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU EAST_KARNATAKA,2,3,1484.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU NORTH_KARNATAKA,83,2,2787.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU RURAL DIST_KARNATAKA,89,1,379.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU RURAL_KARNATAKA,16,2,2430.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU SOUTH_KARNATAKA,71,1,824.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BENGALURU,DEVNAHALLI_KARNATAKA",76,1,597.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BENGALURU,_KARNATAKA",33,1,666.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU-11_KARNATAKA,50,1,631.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU-28_KARNATAKA,32,1,999.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU-560005_KARNATAKA,32,1,599.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU-560085_KARNATAKA,43,2,754.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU-560098_KARNATAKA,50,1,382.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURU._KARNATAKA,18,2,1279.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU; 560047_KARNATAKA,30,1,399.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENGALURUBANGALORE_KARNATAKA,19,3,2682.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGALURU_KARNATAKA,1,10493,6729194.0,8,Low Risk,Medium Risk,Personalised product recommendation push notification
BENGALUR_KARNATAKA,15,3,1212.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BENGOLOOR_KARNATAKA,46,1,690.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BENIPATTI_BIHAR,56,3,1481.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BERHAMPORE_WEST BENGAL,5,27,17588.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BERHAMPUR, GANJAM_ODISHA",51,1,1238.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BERHAMPUR_ODISHA,1,98,62937.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BERI_HARYANA,4,2,1465.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BERMO_JHARKHAND,2,8,5800.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BESTAWARIPETA_ANDHRA PRADESH,25,3,2315.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BETALBATIM_GOA,54,3,1394.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BETHUADAHARI_WEST BENGAL,10,2,1505.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BETHUADHARAI_WEST BENGAL,50,1,574.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BETIM,  BARDEZ_GOA",9,1,702.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BETTIAH_BIHAR,2,38,28236.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BETTIYAH_BIHAR,63,1,654.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BETUL BAZAR_MADHYA PRADESH,62,3,1955.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BETUL_MADHYA PRADESH,7,12,9275.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BEWAR_UTTAR PRADESH,69,1,1112.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BEYOND 18TH SECTOR,C.H.B.JODHPUR_RAJASTHAN",4,1,318.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BEYPORE_KERALA,17,9,5626.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHABHAR_GUJARAT,62,1,442.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHABUA_BIHAR,37,2,1284.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHACHAU_GUJARAT,54,6,4963.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADARVA_GUJARAT,85,3,1306.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADERWAH_JAMMU & KASHMIR,53,3,1789.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADOHI_UTTAR PRADESH,15,7,5027.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADRACHALAM_TELANGANA,7,11,6665.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADRAK_ODISHA,8,17,12404.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADRAVATI_KARNATAKA,2,13,6390.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADRA_RAJASTHAN,22,3,2825.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHADRESWAR_WEST BENGAL,16,5,4108.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAGALPUR_BIHAR,1,58,41723.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHAGYA NAGAR,9916015445,KOPPAL_KARNATAKA",89,1,715.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAINSA_TELANGANA,9,3,1554.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAINSDEHI_MADHYA PRADESH,69,1,493.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHAKALI, REWARI_HARYANA",18,1,663.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAKALI_HARYANA,22,1,635.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHALKI_KARNATAKA,91,1,493.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHALWAL_JAMMU & KASHMIR,40,3,2311.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHAMRAGAD, GADCHIROLI_MAHARASHTRA",57,1,563.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANDARA_MAHARASHTRA,8,26,16058.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHANDER_MADHYA PRADESH,35,2,2185.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHANDUP (WEST), MUMBAI - 400078_MAHARASHTRA",53,1,397.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANDUP EAST MUMBAI_MAHARASHTRA,33,1,518.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANDUP MUMBAI_MAHARASHTRA,41,1,599.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANDUP- EAST_MAHARASHTRA,74,1,574.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANGER_WEST BENGAL,69,1,475.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHANJANAGAR_ODISHA,2,5,3927.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHANPURA_MADHYA PRADESH,29,1,599.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHARATGANJ_UTTAR PRADESH,87,1,772.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHARATPUR , BHUBANESWAR_ODISHA",10,1,501.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHARATPUR_RAJASTHAN,20,22,16039.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHARSINGI_MAHARASHTRA,23,1,729.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHARTHANA_UTTAR PRADESH,28,5,3166.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHARUCH_GUJARAT,6,60,38849.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHARWARI_UTTAR PRADESH,62,2,1772.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATAPARA_CHHATTISGARH,2,7,4968.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATGAON_CHHATTISGARH,82,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHATINDA_PUNJAB,34,1,517.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHATKAL-UTTARA KANNADA_KARNATAKA,67,3,2472.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATKAL_KARNATAKA,22,10,6478.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATKULI_MAHARASHTRA,65,3,3012.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATNI BAZAR (DEORIA)_UTTAR PRADESH,62,2,654.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHATPAR RANI_UTTAR PRADESH,23,3,3168.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATPARA_WEST BENGAL,12,8,5243.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHATTANAGAR .LILUAH .HOWRAH_WEST BENGAL,32,1,699.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAVANISAGAR_TAMIL NADU,50,3,1406.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAVANI_TAMIL NADU,14,8,5053.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAVNAGAR_GUJARAT,2,39,25882.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAWAN BAHADUR NAGAR_UTTAR PRADESH,26,1,399.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAWANI MANDI_RAJASTHAN,45,1,345.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAWANIPATNA_ODISHA,10,13,8383.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAYANDAR (WEST)_MAHARASHTRA,10,1,725.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHAYANDAR EAST_MAHARASHTRA,70,2,813.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHAYANDER (E), THANE_MAHARASHTRA",12,2,956.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAYANDER (EASY)_MAHARASHTRA,55,4,3270.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAYANDER EAST_MAHARASHTRA,3,2,798.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHAYANDER WEST_MAHARASHTRA,39,1,545.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHEEMUNIPATANM_ANDHRA PRADESH,21,2,965.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHEEMUNIPATNAM_ANDHRA PRADESH,25,3,1499.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHEEM_RAJSTHAN,8,1,521.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHEL HARIDWAR_UTTARAKHAND,33,1,360.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHIKHIWIND_PUNJAB,37,1,382.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAD_GUJARAT,47,1,471.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAI  490020_CHHATTISGARH,65,1,788.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAI CHARODA   DIST-DURG_CHHATTISGARH,9,1,458.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAI DURG_CHHATTISGARH,72,1,563.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAI NAGAR_CHHATTISGARH,34,1,771.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHILAI-490006, DISTRICT -DURG ,_CHHATTISGARH",31,1,373.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILAI_CHHATTISGARH,2,104,62523.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHILODA_GUJARAT,21,1,292.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHILWARA_RAJASTHAN,8,36,26446.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIMADOLE_ANDHRA PRADESH,2,5,4499.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIMAVARAM 2_ANDHRA PRADESH,22,1,491.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHIMAVARAM_ANDHRA PRADESH,2,46,29883.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIMTAAL_UTTARAKHAND,7,8,5769.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIMTAL_UTTARAKHAND,21,1,899.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHINDER_RAJASTHAN,61,2,998.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHIND_MADHYA PRADESH,69,3,1900.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHINGA_UTTAR PRADESH,53,2,1352.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHINMAL_RAJASTHAN,32,2,2095.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHISIANA_PUNJAB,5,1,633.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHITARWAR_MADHYA PRADESH,78,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHIWADI_RAJASTHAN,3,42,27811.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIWANDI_MAHARASHTRA,2,68,44483.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIWANI_HARYANA,7,16,12370.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHIWAPUR_MAHARASHTRA,83,1,788.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOGAON_UTTAR PRADESH,52,2,748.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOGAPURAM_ANDHRA PRADESH,64,1,442.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOGNIPUR_UTTAR PRADESH,8,2,973.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHOJIPURA, BAREILLY_UTTAR PRADESH",69,2,2676.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHOJIPURA_UTTAR PRADESH,25,1,376.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOJPUR_BIHAR,38,1,749.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOKAR_MAHARASHTRA,18,2,736.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHOLAR DABRI_WEST BENGAL,74,1,759.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHONGIR_TELANGANA,16,5,2362.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHOPAL_MADHYA PRADESH,1,423,288324.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHORANJ_HIMACHAL PRADESH,14,1,771.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOR_MAHARASHTRA,80,1,399.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHOSARI, PUNE_MAHARASHTRA",56,2,1775.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHOSARI,PUNE_MAHARASHTRA",5,1,569.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHOTA_HIMACHAL PRADESH,65,4,3227.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHOWALI_UTTARAKHAND,4,7,5014.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BHUBANESHWAR, ODISHA_ODISHA",70,1,685.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUBANESHWAR_ODISHA,18,1,399.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUBANESHWAR_ORISSA,22,1,376.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHUBANESWAR, 751003_ODISHA",82,1,788.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHUBANESWAR, KHORDHA_ODISHA",22,1,468.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUBANESWARB_ODISHA,5,1,771.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUBANESWAR_ODISHA,1,650,452473.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHUBANESWAR_ORISSA,18,2,1361.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHUGAON MULSHI ROAD_MAHARASHTRA,76,1,499.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHUGAON, PUNE_MAHARASHTRA",27,1,325.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUGAON_MAHARASHTRA,87,1,493.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUJ_GUJARAT,2,26,20203.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHULEPUR_UTTAR PRADESH,13,1,899.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUNTAR_HIMACHAL PRADESH,23,7,5470.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHUNTER_HIMACHAL PRADESH,70,3,2093.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHUPALPALLE_TELANGANA,4,7,4252.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHURAGAON_ASSAM,90,1,1129.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BHUSAWAL,_MAHARASHTRA",57,1,759.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUSAWAL_MAHARASHTRA,7,15,8798.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BHUSHAN STEEL PLANT MERAMANDALI TOWNSHIP_ODISHA,34,1,749.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BHUVANAGIRI_TAMIL NADU,1,4,1632.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIAORA_MADHYA PRADESH,28,2,1177.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIBINAGAR HYDERABAD_TELANGANA,90,1,672.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BICCAVOLU_ANDHRA PRADESH,19,3,1483.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BICHOLIM_GOA,9,20,9816.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIDADI_KARNATAKA,23,3,1529.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIDAR_KARNATAKA,2,47,32115.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIDASAR_RAJASTHAN,56,1,1115.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BIDHAN NAGAR, KOLKATA- 700102_WEST BENGAL",44,1,529.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BIDHAN NAGAR, KOLKATA_WEST BENGAL",87,2,990.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIDHAN NAGAR_WEST BENGAL,2,102,62690.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BID_MAHARASHTRA,10,8,4520.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIHAR SHARIF_BIHAR,72,1,1140.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIHARSHARIF_BIHAR,25,12,8910.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIHAR_BIHAR,28,1,976.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIHPURIA_ASSAM,44,2,1737.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIHTA BEGUSARAI DISTRICT_BIHAR,8,2,911.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIHTA PATNA DISTRICT_BIHAR,8,7,5313.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIHTA_BIHAR,72,1,1133.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIJAPUR_CHHATTISGARH,18,3,1438.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIJAPUR_KARNATAKA,5,3,1948.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIJBEHARA_JAMMU & KASHMIR,3,2,1670.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIJNOR_UTTAR PRADESH,5,28,17662.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIJPUR_UTTAR PRADESH,44,5,2424.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIJURI_MADHYA PRADESH,69,1,788.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIKANER 9680830319_RAJASTHAN,46,1,899.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIKANER_RAJASTHAN,2,60,41135.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIKNOOR_TELANGANA,7,1,301.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIKRAMGANJ_BIHAR,51,6,2721.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIKRAM_BIHAR,51,1,1133.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BILANDAPUR_WEST BENGAL,24,2,1158.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BILASPUR,_CHHATTISGARH",6,1,496.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BILASPUR_CHHATTISGARH,2,84,57497.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BILASPUR_HARYANA,28,2,889.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BILASPUR_HIMACHAL PRADESH,12,18,12622.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BILEIPADA_ODISHA,27,1,475.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BILGRAM_UTTAR PRADESH,86,1,1481.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BILHAUR_UTTAR PRADESH,50,1,345.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BILHA_CHHATTISGARH,79,4,3261.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BILIMORA_GUJARAT,11,11,7736.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BINA_MADHYA PRADESH,3,5,4675.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BINDKI FATEHPUR_UTTAR PRADESH,16,1,790.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BINDKI_UTTAR PRADESH,2,4,3006.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BINNAGURI_WEST BENGAL,46,2,1581.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BINOLA INDUSTRIAL AREA_HARYANA,52,2,1131.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BINPUR I_WEST BENGAL,65,1,475.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIRAMITRAPUR_ODISHA,88,1,1354.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BIRATI, KOLKATA_WEST BENGAL",79,1,518.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIRBHUM_WEST BENGAL,86,1,499.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIRPARA TEA GARDEN_WEST BENGAL,53,2,1009.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BIRPUR_BIHAR,51,3,1858.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BIRUR_KARNATAKA,53,2,851.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISALPUR_UTTAR PRADESH,6,2,1064.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BISHAMA KATAK_ODISHA,66,2,1531.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BISHNUGARH_JHARKHAND,34,1,653.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISHNUPUR BANKURA DISTRICT_WEST BENGAL,27,3,1850.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
BISHNUPUR_MANIPUR,68,2,1073.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISHRAMPUR_CHHATTISGARH,73,1,1112.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISHUNIPUR_UTTAR PRADESH,28,4,3215.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BISWANATH CHARIALI, BISWANATH_ASSAM",16,1,569.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISWANATH CHARIALI_ASSAM,60,5,5922.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BISWANATH_ASSAM,6,1,1075.0,4,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BISWAN_UTTAR PRADESH,61,1,597.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
"BIT CAMPUS MESRA, RANCHI_JHARKHAND",65,1,353.0,3,High Risk,High Risk,Win-back email + 15% discount voucher within 48hrs
BOBBILI_ANDHRA PRADESH,23,4,2954.0,6,Medium Risk,Medium Risk,Personalised product recommendation push notification
"BODAKDEV, AHMEDABAD_GUJARAT",44,2,1332.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
BODELI_GUJARAT,19,1,1163.0,5,Medium Risk,Medium Risk,Personalised product recommendation push notification
